    18 to 24 years,132,79,438,"1,262",243,47,4,84,58,857,112,72,7,309,131,"2,071",485,300,46,21,94,786,"3,793",251,34,880,155,194,92,106,93,389,73,146,383,327,3,114,50,54,12,135,226,123,97,286,400,19,37,1,43,196,33,18,98,186,142,"1,410",25,"3,310",135,78,706,42,4,"1,112",34,24,88,291,128,"8,308",987,48,89
    25 to 34 years,64,135,319,965,300,14,35,247,82,335,200,81,136,220,91,"1,291",336,371,135,31,214,23,"1,007",57,139,786,40,314,266,266,83,250,10,160,505,41,42,100,54,53,77,166,560,93,142,403,543,29,48,46,49,168,21,41,35,87,159,664,39,"3,290",99,91,363,16,60,"1,423",112,126,102,188,172,"2,049",323,103,159
    35 to 44 years,203,35,190,507,302,69,2,145,26,202,122,238,53,141,88,741,246,240,82,54,41,134,341,75,111,873,76,301,282,173,16,254,76,49,371,160,26,58,61,16,81,200,346,30,239,116,284,56,33,40,35,88,18,108,46,142,90,237,70,"2,965",67,220,521,20,114,"1,044",139,90,40,282,114,"1,256",201,47,53
    45 to 54 years,66,315,248,605,198,180,26,312,125,113,78,293,59,45,219,945,316,357,85,73,65,182,636,217,104,786,143,699,170,236,88,344,79,207,449,147,112,197,105,69,95,244,544,108,264,264,307,64,64,81,23,285,62,236,52,174,157,508,61,"3,177",193,276,425,95,84,"1,216",44,125,132,364,198,"1,410",555,57,151
    55 to 64 years,251,163,567,"1,610",332,170,38,342,329,194,75,232,85,302,411,832,666,674,195,112,238,252,"1,148",209,186,"1,224",333,408,220,388,105,674,226,228,939,473,54,252,110,86,40,236,522,200,336,486,538,113,101,101,66,219,126,363,129,490,221,442,130,"4,412",210,406,739,95,174,"1,432",346,452,396,665,225,"1,480",532,97,212
    65 to 74 years,255,177,331,800,275,179,25,138,141,128,147,90,44,65,133,555,272,310,232,75,85,62,668,200,165,918,42,397,284,176,76,246,154,144,478,274,67,138,165,37,78,146,316,51,134,422,276,106,117,79,39,164,59,123,139,129,57,104,58,"2,283",156,351,475,129,124,618,52,155,145,340,161,643,413,66,97
    75 years and over,177,111,247,602,213,90,29,195,149,80,174,193,21,149,118,341,257,214,187,70,67,86,557,198,107,606,63,136,89,150,55,180,96,42,370,148,32,97,60,24,106,126,178,108,115,252,260,84,68,47,57,235,81,137,53,126,179,374,47,"1,531",119,173,457,43,125,719,80,132,174,223,146,694,306,41,60
    Mean income deficit for unrelated individuals (dollars),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
"    Worked full-time, year-round in the past 12 months",108,140,161,532,104,0,4,73,40,200,48,47,43,25,40,484,179,57,24,0,26,0,"1,025",6,36,555,0,22,73,23,39,114,43,27,140,72,0,108,0,34,26,101,143,0,28,140,116,12,12,0,56,117,18,51,44,59,34,355,5,"1,565",74,27,243,19,19,681,79,59,8,96,28,"1,205",140,10,60
"    Worked less than full-time, year-round in the past 12 months",177,106,589,"2,023",455,89,14,241,69,999,194,205,23,428,297,"2,540",593,637,111,111,214,283,"2,394",334,136,"1,798",210,605,173,301,184,778,125,375,915,396,79,188,141,101,39,365,598,202,391,387,787,82,115,25,54,263,48,203,134,348,290,"1,590",95,"5,930",121,313,899,140,77,"1,999",88,174,204,388,292,"6,615","1,152",106,132
    Did not work,896,780,"1,651","4,009","1,358",660,141,"1,170",801,740,754,986,340,782,860,"3,823","2,067","1,790",833,327,594,"1,242","4,736",884,751,"3,815",665,"1,853","1,185","1,208",296,"1,487",551,574,"2,507","1,109",257,662,472,204,424,872,"2,042",534,993,"1,719","1,820",377,350,370,202,975,342,772,374,970,706,"1,932",338,"13,749",784,"1,277","2,643",286,589,"4,980",709,871,865,"1,872",824,"8,059","2,113",343,630
    Population in housing units for whom poverty status is determined,"2,765","3,935","5,713","22,068","4,862","1,495",466,"3,977","2,859","3,887","2,728","3,694",933,"4,885","3,815","18,657","10,524","9,311","2,940",775,"3,172","3,315","17,373","3,787","2,129","15,599","2,489","7,300","4,859","5,879","2,575","6,428","1,967","3,052","12,053","4,691","1,461","2,439","2,022","1,259","1,468","3,086","8,430","2,709","2,983","7,417","8,687","1,461","1,589","2,050",751,"4,742","1,492","5,552","1,781","4,706","4,010","10,262",806,"61,180","3,444","5,797","10,365","1,495","1,876","21,777","3,440","3,041","2,552","7,126","2,752","35,845","11,125","1,276","2,722"
