Label (Grouping),"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
            Did not work,"4,928","7,341","18,207","66,475","11,361","3,759","1,853","9,463","4,056","5,396","4,769","9,727","2,964","7,695","6,207","26,983","19,403","12,890","5,250","2,484","4,084","5,653","30,857","6,030","4,974","34,456","5,860","13,106","6,652","10,556","3,623","10,998","5,439","4,704","21,915","8,436","2,771","5,317","2,812","2,844","4,110","6,846","19,572","5,347","7,210","14,456","11,505","2,656","3,576","2,963","3,020","8,084","3,693","6,346","3,350","7,577","6,952","18,487","2,945","104,968","6,306","7,402","33,033","3,197","3,265","36,004","4,698","7,184","5,485","13,802","6,547","54,569","22,933","2,171","6,173"
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        50 percent of poverty level,843,"1,521","1,766","9,059","1,880",571,209,"1,451","1,630","1,850",985,"1,229",449,"2,782","1,213","7,345","4,761","3,840","1,177",425,"1,476","1,569","8,029","1,037",719,"6,573",660,"3,325","1,506","1,923","1,042","2,509",585,935,"5,160","1,897",582,947,"1,102",456,461,"1,370","3,502",862,"1,401","3,403","3,426",851,641,491,241,"2,484",784,"3,020",551,"1,720","1,027","3,519",353,"29,122","1,128","2,326","4,428",403,539,"8,745","1,457","1,002",963,"3,121",933,"16,927","4,581",557,"1,280"
        125 percent of poverty level,"3,849","5,601","9,095","30,694","6,623","2,723",699,"5,262","3,524","4,933","3,861","4,735","1,145","6,060","5,306","25,049","13,347","12,809","4,048","1,144","4,155","4,608","24,177","5,615","3,585","20,666","3,096","8,935","5,860","7,269","3,058","8,235","3,025","4,170","16,260","6,539","2,002","3,643","2,766","1,708","1,982","4,511","11,200","4,012","3,989","10,585","11,305","1,794","2,151","2,424","1,227","6,132","2,104","6,813","2,367","6,032","4,793","14,854","1,257","80,558","4,933","7,407","14,731","2,297","2,206","28,599","4,465","4,261","3,532","9,396","3,924","46,912","16,903","1,678","4,389"
        150 percent of poverty level,"4,446","7,008","11,728","42,344","9,003","3,198",897,"6,566","4,395","6,043","4,575","6,514","2,190","7,221","6,821","29,063","17,097","15,684","5,121","1,549","4,893","5,428","30,329","6,251","4,850","25,490","3,780","12,640","6,667","9,238","4,030","10,127","3,984","5,294","20,108","8,931","2,574","5,056","3,125","2,189","2,693","5,965","13,997","4,783","5,040","13,586","13,277","2,225","2,801","2,621","1,658","7,763","2,774","7,564","2,994","7,840","6,186","18,689","1,794","102,321","6,365","8,664","20,475","2,674","2,893","36,448","5,273","6,058","4,951","11,093","5,436","60,612","21,557","2,038","6,532"
        185 percent of poverty level,"5,403","8,454","15,499","60,486","13,186","4,228","1,325","9,558","5,273","7,764","5,807","8,542","2,634","8,912","8,176","36,897","21,195","19,844","6,557","2,032","5,722","6,842","38,617","7,311","5,587","33,927","4,862","16,098","8,387","11,449","5,377","13,745","5,437","6,520","24,482","12,024","3,186","6,614","3,775","2,834","3,772","7,961","19,674","5,664","6,853","16,301","16,981","2,524","3,608","3,634","2,511","9,191","3,467","8,655","3,604","9,686","8,063","24,217","2,525","130,883","7,738","10,622","28,454","3,940","3,506","47,729","6,935","8,051","6,523","14,510","6,828","78,868","29,552","2,440","7,716"
        200 percent of poverty level,"5,682","9,031","16,854","68,269","14,283","4,689","1,565","10,799","5,684","8,309","6,242","9,497","2,868","9,669","8,731","40,497","23,564","21,460","7,212","2,162","6,211","7,431","42,137","7,515","5,888","37,050","5,349","18,290","8,991","12,515","5,838","15,066","5,720","7,061","26,715","12,996","3,397","7,302","3,975","3,057","4,264","8,441","21,576","6,318","7,586","17,956","18,178","2,794","3,909","3,693","2,713","9,949","4,063","8,923","3,897","10,240","8,814","26,184","2,977","141,100","8,193","11,337","31,728","4,552","3,858","52,148","7,791","8,878","6,863","15,932","7,452","86,381","31,645","2,694","8,777"
        300 percent of poverty level,"9,259","11,945","26,419","118,528","22,034","6,881","2,532","15,935","7,082","11,365","9,533","15,287","4,187","13,089","12,298","58,885","34,867","29,598","10,545","3,856","8,251","10,269","62,880","11,127","7,993","56,937","8,521","27,103","12,701","19,351","7,925","23,168","8,196","10,201","38,081","17,676","4,219","10,910","4,927","4,931","6,042","13,438","35,789","9,866","10,867","26,185","25,406","4,307","5,380","5,868","4,383","14,372","6,000","12,556","6,248","15,191","12,439","35,243","4,930","200,662","11,726","14,971","52,294","7,063","5,144","76,089","11,143","12,167","9,121","23,104","10,351","128,660","46,281","3,521","12,495"
        400 percent of poverty level,"11,884","13,841","31,660","158,390","28,374","7,955","3,351","20,747","8,019","14,278","11,967","19,369","5,314","15,875","15,474","73,762","43,416","36,075","12,286","4,708","9,590","12,532","79,312","13,584","9,583","70,711","10,782","33,175","16,027","23,096","9,724","28,261","9,894","11,585","46,644","20,079","5,090","12,870","5,625","6,292","7,558","16,322","46,968","12,538","13,386","30,943","30,571","5,360","6,145","6,648","5,488","17,642","7,456","13,670","7,676","18,155","14,928","42,818","5,633","252,181","14,100","17,325","71,300","8,166","6,468","92,453","12,975","14,644","10,055","29,689","12,499","159,454","56,097","4,376","15,047"
        500 percent of poverty level,"13,730","16,025","34,558","186,155","31,552","8,707","3,810","22,689","8,560","16,224","13,068","20,839","6,090","17,348","17,356","84,737","49,313","40,185","13,923","5,484","10,136","13,891","93,043","14,622","10,918","79,935","13,751","37,283","17,263","26,120","10,907","32,131","10,937","12,984","52,948","22,097","5,495","14,110","6,131","7,068","9,328","18,772","55,321","14,338","14,583","34,256","34,257","5,684","7,010","7,378","6,546","19,357","8,395","14,914","8,510","20,309","16,269","48,735","6,658","291,306","15,492","18,761","86,407","8,708","7,088","102,585","13,708","15,576","11,458","33,033","13,935","180,569","62,966","5,067","17,502"
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,"3,564","3,062","9,119","38,116","6,372","2,046",529,"4,519","2,001","4,524","3,146","4,730","1,089","3,660","3,698","20,905","8,970","9,401","2,720","1,212","2,105","4,038","24,022","3,059","2,558","20,656","2,791","7,498","3,555","5,266","2,084","6,719","2,123","2,915","11,981","4,716","1,090","2,784","1,451","1,164","1,961","3,857","11,209","2,257","3,612","7,579","7,517","1,473","1,313","1,249","1,191","3,988","1,303","2,960","1,564","4,230","3,345","10,936","1,519","88,160","3,417","4,203","18,272","1,529","1,213","25,804","2,167","3,081","2,667","7,444","3,033","53,222","12,523","1,277","3,053"
    Male,"1,669","1,341","4,133","18,822","3,281","1,127",253,"2,329",826,"1,914","1,308","2,290",493,"1,464","1,754","10,499","4,044","4,583","1,395",498,845,"1,946","11,562","1,531","1,289","9,476","1,558","3,660","1,791","2,393",860,"3,330","1,058","1,461","5,677","2,483",525,"1,437",721,415,916,"2,095","5,348","1,054","1,869","3,932","3,766",732,632,523,720,"1,757",643,"1,178",643,"2,061","1,602","5,128",708,"42,001","1,758","2,091","8,582",760,458,"12,931","1,010","1,386","1,037","3,276","1,342","27,261","5,507",627,"1,686"
    Female,"1,895","1,721","4,986","19,294","3,091",919,276,"2,190","1,175","2,610","1,838","2,440",596,"2,196","1,944","10,406","4,926","4,818","1,325",714,"1,260","2,092","12,460","1,528","1,269","11,180","1,233","3,838","1,764","2,873","1,224","3,389","1,065","1,454","6,304","2,233",565,"1,347",730,749,"1,045","1,762","5,861","1,203","1,743","3,647","3,751",741,681,726,471,"2,231",660,"1,782",921,"2,169","1,743","5,808",811,"46,159","1,659","2,112","9,690",769,755,"12,873","1,157","1,695","1,630","4,168","1,691","25,961","7,016",650,"1,367"
    15 years,0,0,0,27,12,0,0,21,0,0,14,0,0,0,0,31,29,7,0,0,27,0,0,7,11,24,9,12,13,0,3,0,0,0,8,0,0,0,8,0,0,35,0,14,0,17,28,0,9,0,0,0,0,0,0,16,0,0,0,148,0,8,9,0,0,52,35,0,0,0,0,0,1,0,0
    16 to 17 years,33,11,61,186,42,0,0,0,0,30,74,39,1,4,6,40,232,11,6,2,3,0,5,10,66,71,14,19,15,37,0,43,5,0,59,7,0,2,0,0,0,50,91,15,85,0,87,0,0,0,0,0,8,0,0,27,25,138,8,135,0,14,90,5,0,44,34,0,0,3,0,39,117,0,1
    18 to 24 years,340,107,678,"4,410",498,68,32,415,76,"1,144",162,197,27,447,308,"3,810",852,789,92,24,145,957,"7,060",451,66,"1,504",230,618,296,320,148,759,181,309,953,527,30,334,96,71,67,342,"1,179",137,141,558,805,45,52,15,61,283,69,227,172,368,223,"2,015",37,"8,796",237,274,"1,629",106,4,"2,616",130,56,201,408,186,"15,077","1,850",90,227
    25 to 34 years,423,320,884,"9,340","1,041",178,52,455,151,641,503,284,156,512,288,"4,128","1,220","1,724",266,135,315,429,"4,768",298,231,"2,839",456,"1,015",513,722,211,667,169,434,"1,584",531,57,367,168,135,133,481,"1,880",188,315,"1,413","1,295",75,87,232,166,529,120,286,135,587,362,"1,747",158,"17,562",298,708,"2,936",150,92,"5,088",194,381,174,588,302,"11,883","1,639",176,431
    35 to 44 years,483,305,694,"4,965",756,485,11,346,66,378,318,556,80,396,263,"2,241",854,"1,347",243,74,163,354,"2,416",193,176,"2,261",333,"1,081",507,635,246,759,136,166,"1,440",587,85,166,112,38,375,457,"1,662",172,349,922,916,286,84,115,101,372,76,204,52,421,389,849,116,"12,009",310,503,"2,545",47,140,"3,191",286,239,123,"1,173",211,"5,285","1,162",83,438
    45 to 54 years,444,676,"1,018","4,760",759,368,93,532,241,654,516,789,129,304,485,"2,777","1,221","1,321",389,148,151,485,"2,365",508,197,"2,562",364,"1,058",536,588,336,"1,049",296,496,"1,489",784,185,348,148,166,344,532,"1,663",313,503,953,948,144,238,232,105,677,147,450,207,691,443,"1,364",161,"11,781",569,489,"2,780",294,174,"3,808",216,346,253,"1,075",371,"5,205","1,657",134,365
    55 to 64 years,811,451,"1,709","5,355","1,291",352,121,905,651,611,358,"1,036",238,649,898,"3,004","1,687","2,081",648,274,502,744,"3,170",456,609,"3,988",568,"1,469",584,"1,258",264,"1,610",520,620,"2,715","1,014",221,678,329,259,280,723,"1,774",604,861,"1,506","1,520",236,256,315,209,875,286,768,336,"1,103",741,"1,764",279,"16,644",804,920,"3,128",298,250,"4,060",633,781,692,"1,803",556,"6,432","2,327",325,595
    65 to 74 years,588,571,"1,823","4,618",874,390,117,922,409,606,528,548,216,561,815,"2,581","1,445","1,303",587,223,436,595,"2,248",536,705,"3,906",319,"1,152",614,794,453,902,439,465,"2,100",707,298,431,348,290,432,655,"1,691",392,658,"1,218",953,405,322,151,310,592,288,420,386,601,502,"1,316",403,"11,876",570,789,"2,602",355,277,"3,623",323,678,584,"1,214",659,"5,136","1,624",238,418
    75 years and over,442,621,"2,252","4,455","1,099",205,103,923,407,460,673,"1,281",242,787,635,"2,293","1,430",818,489,332,363,474,"1,990",600,497,"3,501",498,"1,074",477,912,423,930,377,425,"1,633",559,214,458,242,205,330,582,"1,269",422,700,992,965,282,265,189,239,660,309,605,276,416,660,"1,743",357,"9,209",629,498,"2,553",274,276,"3,322",316,600,640,"1,180",748,"4,165","2,146",231,578
    Mean income deficit for unrelated individuals (dollars),"5,315","7,121","6,848","6,983","7,664","6,673","7,748","7,539","7,295","7,435","6,399","6,636","8,226","7,944","5,783","6,608","7,819","6,415","5,429","6,216","7,969","8,990","7,906","7,226","6,336","6,708","6,689","6,297","6,563","6,106","5,432","6,425","5,371","6,506","6,995","6,770","6,821","5,627","6,102","6,754","6,514","6,560","7,209","7,286","8,394","7,081","6,415","5,149","6,547","5,600","4,903","6,997","7,107","6,228","5,934","7,536","6,595","7,062","6,993","7,474","6,033","6,055","7,795","4,988","5,314","6,860","7,784","6,390","5,949","8,122","6,789","8,392","7,315","7,137","7,262"
"    Worked full-time, year-round in the past 12 months","1,381","1,081","2,438","21,602","2,051",819,189,"1,164",571,"1,409","1,016","1,197",231,967,"1,099","8,160","2,889","4,063",913,208,491,"1,221","11,073",913,427,"6,515",983,"2,490","1,176","1,671",678,"2,405",582,870,"4,331","1,659",231,867,284,328,638,"1,124","4,854",667,716,"2,964","2,844",410,282,454,322,"1,477",302,834,495,"1,488","1,043","3,175",432,"40,998",900,"1,420","8,649",368,170,"10,080",655,665,284,"2,862",537,"23,146","4,302",443,"1,251"
"    Worked less than full-time, year-round in the past 12 months",655,362,"1,677","5,215","1,349",219,33,885,227,"1,703",565,804,105,737,649,"4,918","1,623","1,787",419,176,451,598,"4,964",524,308,"4,360",470,"1,360",455,952,492,"1,244",301,707,"1,950","1,031",149,461,351,223,177,915,"1,892",548,672,"1,229","1,267",250,278,197,222,675,222,577,226,887,653,"3,020",215,"16,969",447,789,"2,557",432,146,"5,307",304,473,481,800,516,"14,116","3,033",179,350
    Did not work,"1,528","1,619","5,004","11,299","2,972","1,008",307,"2,470","1,203","1,412","1,565","2,729",753,"1,956","1,950","7,827","4,458","3,551","1,388",828,"1,163","2,219","7,985","1,622","1,823","9,781","1,338","3,648","1,924","2,643",914,"3,070","1,240","1,338","5,700","2,026",710,"1,456",816,613,"1,146","1,818","4,463","1,042","2,224","3,386","3,406",813,753,598,647,"1,836",779,"1,549",843,"1,855","1,649","4,741",872,"30,193","2,070","1,994","7,066",729,897,"10,417","1,208","1,943","1,902","3,782","1,980","15,960","5,188",655,"1,452"
    Population in housing units for whom poverty status is determined,"16,978","19,189","40,968","275,231","36,763","10,412","4,687","27,851","9,742","19,155","14,527","24,534","7,554","21,067","20,486","105,747","59,500","47,474","16,694","6,007","11,430","16,544","118,107","16,808","11,880","97,717","17,669","44,676","19,982","30,929","12,716","36,650","12,620","14,696","62,192","25,054","6,230","15,775","7,307","8,330","11,881","20,672","72,987","16,382","16,552","41,442","39,961","6,812","8,397","8,150","7,288","22,467","9,916","16,752","10,049","22,676","19,200","59,783","8,079","390,331","18,002","20,470","120,762","9,867","7,777","125,693","15,890","16,951","12,240","38,792","15,664","234,668","73,382","6,126","20,069"
